id,vi,cn
387,"Bức thư viết cho chính mình số 387 Chọn đàn ông không gì khác ngoài việc người đó phải yêu bạn. Dù anh ta có đến mức “cảm động trời xanh”, thích làm việc thiện, không một thiếu sót, nhưng lại không hề yêu bạn thì tất cả đều vô dụng!",写给自己的第387封信 再有才华、 口才再 任他再有钱、 就是要疼你， 再帅， 挑男人没别的， 孝顺感动天、 智慧再高， 不疼你， 大爱助众生， 能力再强， 一点儿用 都没有！
388,"Bức thư viết cho chính mình số 388 Đôi khi, người mà bạn đã định sẽ bên bạn trọn đời lại dễ dàng bỏ bạn giữa đường. Người mà bạn đã xác định chắc trong tim ấy lại là người nửa vời với bạn nhất. Vì vậy, yêu cũng được, kết hôn cũng được, thực ra tất cả đều không phải do bạn tự Người thật sự có thể ở bên bạn cả đời, là nhờ giữ mà nên, không được thì để tự nhiên mà qua đi thôi. Cuộc đời, đều trôi qua theo lẽ như vậy cả.",写给自己的第388封信 总会在半途下车。 有时候， 你一心认定的人， 你选定要一辈子的人， 其实真的不是靠你自己 其实是最三心二意的。所以爱情也好， 婚姻也好， 选出来的。 往往都不太靠谱。 每个人自我的选择， 真正能跟你一辈子的爱 都是过出来的。 是守出来的。是不知不觉过下去的。 日子，
389,Bức thư viết cho chính mình số 389 khác bước vào lễ đỳường thề hẹn Ịỷ)Ỉ1ll thê Ẻạc đầu.,写给自己的第389封信 我们曾用数年的时间去爱一个人，- 再用数年的时间去忘记， 爱过疼 然后却匆匆牵着别人的手去结婚。
390,Bức thư viết cho chính mình số 390 Hai con người gặp được nhau là một xác suất rất nhỏ rồi. Hai con người yêu nhau quả là điều kì diệu nhất. Có thể gặp gỡ là trời định nhưng có thể bên nhau lại là,写给自己的第390封信 两个人相爱， 是小概率的事； 是最美好的事。 两个人相遇， 遇见的都 拥有的都是幸运。 是天意，
391,"Bức thư viết cho chính mình số 391 Tình yêu không phải là dựa vào một vài lời hứa, tình yêu cũng không phải là sự đồng hành trong một hai ngày, càng không phải những lời thề non hẹn biển trên giấy hay lời nói từ bờ môi. Tình yêu là trách nhiệm sẽ bên nhau không xa rời cùng yêu thì xin hãy rời bó. Ấ›",写给自己的第391封信 爱更不是写在纸 爱不是三言两语的承诺， 爱也不是一天两天的陪伴， 说在嘴上的山盟海誓。 爱是不离不弃的责任， 更是平平淡淡的陪伴。 请深爱， 若真爱， 请离开。 若不爱，
392,"Bức thư viết cho chính mình số 392 Khi có người thương, nước mắt mới được coi là nước mắt, nếu không nó chỉ mới được coi là làm nũng, nếu không sẽ chỉ là sự giả tạo làm mầu mà thôi.",写给自己的第392封信 否则只是带着咸味的体液； 有人心疼时， 被人呵护 眼泪才是眼泪， 要不然就是作死。 撒娇才是撒娇，
393,"Bức thư viết cho chính mình số 393 Nguyện mong có một ngày, bạn sẽ gặp một người như vậy, hoàn toàn xa lạ nhưng cảm giác nếu bên nhau sẽ vô cùng hạnh phúc. Được như vậy, con tìim mệt mỏi này cuối cùng cũng có bến đỗ an toàn của riêng mình.",写给自己的第393封信 完全不熟悉， 终会遇到这样一个人， 毫无感情基础，- 愿你有一天， 但 终于愿意停靠。 感觉是可以很好地在一起生活。 疲惫不已的心， 于是，
394,"Bức thư viết cho chính mình số 394 Những người yêu nhau cãi vã thường không phải do vấn đề tình cảm mà là vì yêu quá nhiều. Khi họ yêu sâu đậm, một chút mâu thuẫn cũng sẽ làm cho họ bị tốn thương sâu sắc. Bởi vì có quá nhiều sự quan tâm nên không dễ dàng buông xuôi. Tình yêu đích thực không phải là không có cãi vã không giận dỗi không gây sự. Quan trọng là sau khi cãi vã khóc lóc, người yêu mình nhất vẫn là nửa kia. Tình yêu chính là biết ơn những ưu điểm của người kia và chiu đựng những thiếu sót của nửa còn lại. Vì tình yêu là để cả hai gưò’ì kiên trì nhẫn nại bên nhau ửong khoảng thời gian dài.",写给自己的第394封信 而是用情太深。都深爱时， 往往不是没感情， 相爱的人吵架， 一点矛 盾都会让人受伤很重。 不是不吵架 真正的爱， 所以放不下。 由于太重视， 最后最心疼彼此的， 不生气不耍脾气不胡闹， 而是吵过闹过哭过骂过， 还 就是要感恩对方的优点， 因为爱就是坚 容忍对方的缺点， 是对方。相爱， 持在一起。  也不是什么承诺和誓言。 不是一场轰轰烈烈的爱情， 一辈子的爱人， 当所有人都在赞 只有他在默默陪伴着你; 而是当所有人都离弃你的时候，！:· 我早知道。 只有他牵着你的手， 赏你的时候， 仿佛骄傲地说， 嘴角上扬，
395,"Bức thư viết cho chính mình số 395 Người bạn yêu một đời không phải có thể đem lại cho bạn nuột ủình yêu mãnh liệt nồng cháy, cũng không phải là có thế đem lại cho bạn những lời hứa hẹn. Đơn giản là khi tất cả mọi người bỏ rơi bạn chỉ có anh ấy vẫn lặng thầm bên bạn; khi tất cả mọi người đều tán dương bạn chỉ có anh ấy nắm tay của bạn và mỉm cười đứng lên, tự hào nói rằng, điều này anh đã sớm biết rồi.",
396,Bức thư viết cho chính mình số 396 Có người dù cho bạn cả thế giới bạn vẫn không thèm nhìn anh ta một cái. Có người cho bạn chỉ là một ánh nhìn bạn đã chắc chắn anh ấy là cả thế giới của bạn. Người có thể khiến bạn thực sự yêu chân thành không đòi hỏi không phải người cho,写给自己的第396封信 你还是不愿多看他一眼。 有的人给了你全世界， 有的人你只看了一 真正能让你死心塌地去爱的人， 便认定他是全世界。 不是那个给了你 而是那个给了你独特感受的。 千般呵护的，
397,"Bức thư viết cho chính mình số 397 ũ Sẽ có một ngày, người mà sẽ không bao giờ quay trở lại được biến mất khỏi cuộc đời bạn, người mà bạn không rời bỏ được ra đi mất, cũng lại có người vừa đến lại đi mất. Tất cả lại trở về điểm xuất phát ban đầu, khuyến mại thêm cho bạn những kí ức còn lưu lại. Chẳng sao, thời gian ắt sẽ đem người định mệnh đến với bạn mà thôi.",写给自己的第397封信 某个离不开的人离开了， 某个回不来的人消失了， 如果真的有一天， 只是多了一份沉甸甸的回忆。 有些人出现了又走了， 然后一切回归原点， 时间会把正确的人带到你的身边。 没关系，
398,"Bức thư viết cho chính mình số 398 Trước 25 tuổi, bạn thường quá xem trọng tình yêu, trong mắt lúc nào cũng chỉ thấy người yêu. Sau 25 tuổi, những tình cảm như vậy từng chút từng chút nhạt đi, thêm vào đó là tình yêu thương gia đình và bạn bè, yêu thương cảnh đẹp thế gian, yêu trọng với tôi, tôi cũng nỗ lực tìm kiếm, nhưng thực sự, có hay không cũng đều ổn cả, chẳng cần phải vì tình yêu mà rơi lệ. Vẫn là câu nói ấy, tất cả mọi vấn đề miễn là bạn nghĩ rằng không sao thì sẽ không có vấn đề gì cả. đ",写给自己的第398封信 二十五岁以 眼里只有爱人。 把爱情看得太重要了， 二十五岁以前， 爱身体发 会把这些精力一点一点移开， 爱世间山水， 去爱家人朋友， 爱情依旧对我非常重要， 我也十分向往， 现在， 爱美与食物。 但是， 没有就算了， 真的有就有， 还是那句话， 不必为它掉眼泪。 一切问题， 只 要你觉得没问题就不是问题。
399,"Bức thư viết cho chính mình số 399 Đôi khi thấy thế giới này thật là lớn, lớn đến mức chúng ta cả đời cũng không có cơ hội nhìn thấy hết được. Đôi khi lại thấy thế giới này thật nhỏ bé, nhỏ đến nỗi chỉ cần ngước nhìn lên đã có thể thấy khuôn mặt mỉm cười của bạn. Vì vậy, khi nhìn thấu được thế giới, hãy cảm thấy biết ơn, khi được yêu hãy trân trọng. Mỗi lần quay người lại hãy thể hiện sự thanh lịch. Khi nói lời tạm biệt xin hãy giữ nụ cười. Bởi vì có những giây phút, có lẽ sẽ chỉ là giây phút duy nhất trong cả cuộc đời mà không bao giờ bạn có thể có lại.",写给自己的第399封信 大到我们一辈子都没有机会遇见。 有时 有时候这个世界很大很大， 所以，在遇见 小到一抬头就看见了你的笑脸。 这个世界又很小很小，  转身时， 请一定要珍惜； 挥 请一定要优雅； 相爱时， 请一定要感激； 因为一转身， 也许就是一生。 请一定要微笑； 别时，
400,"Bức thư viết cho chính mình số 400 Thực ra trong cuộc đời này chẳng có ai là tốt nhất, phù hợp nhất. Tất cả đều do sự nỗ lực cùng vun đắp hạnh phúc từ hai con người mà nên.",写给自己的第400封信 其实人生中根本没有什么最好、 一切都是两个人慢 最合适的那个人， 慢地磨合和经营。
401,"Bức thư viết cho chính mình số 401 Khi đã quen được một người đối xử tốt bạn sẽ cho rằng nó là điều đương nhiên. Chỉ một ngày người đó không đối tốt như trước với bạn thì bạn liền oán giận. Thực ra, không phải người đó không tốt nữa mà là do sự kì vọng của bạn ngày một lớn mà thôi.",写给自己的第401封信 习惯了一个人对你的好， 有一天不对你好了， 便认为是理所应当的。 你便觉得怨怼。 不是别人不好了， 而是你的要求变多了。 其实，
402,"Bức thư viết cho chính mình số 402 Nhớ nhung không nhất thiết cứ phải là yêu, có lẽ chỉ là vì sự hối hận và không cam tâm. Tôi tin rằng số phận sẽ luôn có sự sắp xếp phù hợp nhất. Người trong hồi ức đó sẽ không bao giờ gặp lại, gặp rôi sẽ không còn kí ức nào nữa. Đôi khi nhớ nhung không phải một ai khác mà lại là chính mình khi ở cùng bên anh ấy.",写给自己的第402封信 念念不忘的不一定是爱， 也许是因为遗憾和不甘心。相信命运总会有 有时候你 就没有回忆了。 最好的安排。 回忆里的人就不要再见了， 见了， 而是和他在一起时的自己。 怀念的并不是某个人，
403,"Bức thư viết cho chính mình số 403 Hạnh phúc đều đến rất tự nhiên. Nó không thể đoán trước được càng không có cách nào để đo lường. Điều duy nhất có thể làm là: Trước khi nó đến hãy cứ vững tin sau đó đến thì lặng lẽ tận hưởng. Nguyện ôm mãi sự kì vọng này, cũng không muốn thỏa hiệp với thời gian, bởi vì tôi tin rằng hạnh phúc chỉ là đang đến muộn một chút chứ không phải là mãi mãi không đến.",写给自己的第403封信 5 更没有办法计算， 从来都是水到渠成的。 所谓的幸福， 它无法预估， 宁可怀着有 唯一能做的是， 在相遇之后寂静享用。 在遇见之前保持相信， 因为相信幸福也许会迟到， 所期待的心等待下去， 也不愿去对岁月妥协， 但不会缺席。
404,"Bức thư viết cho chính mình số 404 Mỗi lần thất vọng em sẽ làm ít đi một việc mà em vẫn làm vì yêu anh cho đến khi trên mạng xã hội em đối những dòng ghi chú thành tên thật, bó đi yêu cầu “theo dõi xem trước” trang cá nhân của anh, khi online sẽ không chủ động tìm anh, thu dọn những món quà anh tặng, xóa đi tất cả những bức ảnh có anh, không còn âm thầm đó không biết anh còn nhớ hay không, đã từng có một người cố gắng và âm thầm trân trọng anh.",写给自己的第404封信 我就少做一件爱你的事， 直到最后备注改成全名、 每次失望一次， 取 删掉你所有的照片、 收起你送的东西、 消特别关注、 上线不主动找你、 再 多年后你会不会记得， 曾 也不偷偷看你的时候，D 就是该说再见的时候了。 经有一个人很努力地珍惜过你。
405,"Bức thư viết cho chính mình số 405 Chẳng ai cả đời chí biết đến yêu thương mà không làm gì khác. Có lẽ khi bạn quay lại anh ta đã rời xa bạn rồi. Điều đó không thể tránh được, thậm chí mỗi ngày đều có thể diễn ra. Đừng tin vào những câu chuyện ngôn tình bởi vì chúng ta đang sống trong thế giới thực, không phải là câu chuyện cổ tích: Chẳng có ai đợi ai cả đời đâu. ũ",写给自己的第405封信 也许就在你转身的时候， 没有一个人一生只谈恋爱不做其他事情， 他 不要相信那些爱情 每天都在发生。 这样的事情是无法避免的， 离开了你， 因为我们是生活在现实中， 没有谁会等谁一辈子。 而不是童话里， 小说，
406,"Bức thư viết cho chính mình số 406 Muốn biết liệu một người đàn ông có phải là mẫu người bạn thích hay không thì đừng dựa vào ngoại hình ưa nhìn của anh ta mà phải xem bộ dạng anh ta lúc ghen có còn là kiểu người mà bạn thích hay không. Muốn biết người đàn ông thực sự yêu bạn hay không, đừng chỉ nhìn những hành động quan tâm đến bạn của anh ta lúc bình thường vì lúc này thậm chí dù anh ta vẫn có thế đối xử tốt như vậy với cả một bạn hay không.",写给自己的第406封信 别看约会时他的英姿勃发，-■ 想知道一个男人是否是你喜欢的类型， 而 是应看他极度疲惫时你是否仍心疼并喜欢他的样子。 想知道一个男人是否 他甚至会对 别看他心情好时对你的关怀与体贴， 真心爱护你， 这个时候， 而是应看他自顾不暇时是否仍把你的感受放在心上。 乞丐友好，
407,"Bức thư viết cho chính mình số 407 không bao giờ có thế bên nhau. Hoặc sớm hay muộn, bạn cũng phải từ bỏ người đó.",写给自己的第407封信 最难过的， 莫过于当你遇上一个特别的人， 却明白永远不可能在一 或迟或早， 你不得不放弃。 心
408,"Bức thư viết cho chính mình số 408 Hạnh phúc là khi tình cảm đã mờ nhạt, dung mạo đã tàn phai, nhưng nắm lấy tay bạn vẫn là đôi bàn tay ấm áp tình cảm ấy. Cho dù không còn giàu có, thậm chí là tay trắng, bên cạnh bạn vẫn là tấm lòng không đối thay ấy.",写给自己的第408封信 牵你的还是那双不怨悔的手; 容颜衰老， 幸福， 就是当激情退去、 就 是当财富散尽， 陪你的还是那颗不回头的心。 一无所有，
409,"Bức thư viết cho chính mình số 409 Người có thể dễ dàng từ bỏ bạn trong tình yêu đều không phải là người yêu của bạn. Dù anh ta có vẻ không nỡ thế nào, hành xứ bối rối hay đau khố ra sao, chỉ cần có thể dễ dàng từ bỏ bạn như vậy cũng có thể khẳng định người đó chắc chắn không yêu bạn. Bởi vì trong tình yêu, điều quan trọng nhất là không bỏ cuộc. Trở ngại, tai nạn, bệnh tật, nghèo đói, đều không khiến bạn từ bỏ tình yêu được. Không chia lìa mới được định nghĩa là tình yêu đích thực.",写给自己的第409封信 无论他表现得多么不 都是不爱你的。 在感情里可以轻易放弃你的人， 表现得多么纠结和痛苦。 只要是轻易地放弃了你， 那这个人就一定不 贫穷， 灾难、 病痛、 就是不放弃。 因为相爱最重要的一点， 爱你。 挫折、 都不能令你放弃爱情。 才是真爱。 不离不弃，
410,Brrc thưư viết cho chính mình số 410 Nếu một người quyết định rời xa bạn tất nhiên cũng phải chuẩn bị lí do chính đáng. Bạn không cần lắng nghe những cái cớ có vẻ hợp tình hợp lí đã được suy tính kĩ từ trước. Dù sao những gì đã có thể rời bó cũng vốn không thuộc về bạn. Trước khi nói lời tạm biệt hãy để mọi thứ như gió thoáng qua và chậm rãi xóa bỏ hết quá khứ. Cuộc sống ngắn ngủi lắm nên đừng để mình sống mãi trong kí ức bạn nhé.,写给自己的第410封信 必定有准备好的理由， 你没必要听他那些 如果一个人决定要离开你， 告别从前， 谋划许久冠冕堂皇的借口。 凡是离开的本就不属于你， 从此云 别让自己活在记忆中。 过往一笔勾销。 人生短暂， 淡风轻，
411,"Bức thư viết cho chính mình số 411 Hi vọng bạn sớm gặp được một người sẽ giữ gìn tấm lòng của bạn suốt cả đời, dùng thời gian để chứng minh có thể mang lại cuộc sống hạnh phúc và cảm giác an toàn cho bạn.",写给自己的第411封信 他会用整个人生将你精心收藏， 用漫长岁 愿你早日遇见这么一个人， 月把你妥善安放。
412,Bức thư viết cho chính mình số 412 Có yêu thế nào cũng đừng trở nên hèn kém đếể mang lại niềm vui cho người không yêu bạn. Có hận đến đâu cũng đừng nói xấu sau lưng người đã từng có tình cảm với bạn.,写给自己的第412封信 再爱也别卑微地去取悦一个不爱你的人， 再恨也别背后诋毁一个曾与 你交心的人。
413,"Bức thư viết cho chính mình số 413 Sẽ có một ngày bạn không cần phải tìm kiếm tình yêu, chỉ cần chân thành tiếp nhận tình cảm. Bạn sẽ không còn phải khao khát thành công mà chỉ cần làm việc phải làm. Bạn sẽ không còn mong muốn trưởng thành mà chỉ cần tu dưỡng. Vào ngày đó, tất cả mọi thứ mới thực sự bắt đầu!",写给自己的第413封信 你不再渴望成功， 如果有一天你不再寻找爱情， 只是去 只是去爱； 做；你不再追求成长， 一切才真正开始! 只是去修，
414,"Bức thư viết cho chính mình số 414 Người không thế đợi được thì không cần phải đợi nữa vì tình yêu sâu đậm của bạn không thể lay động khiến người ta yêu bạn. Khiến bạn tổn thương chẳng phải là sự tuyệt tình của người kia mà là sự cố chấp bởi những ảo tưởng của bạn. Hãy dũng cảm hơn một chút, quay người lại, chấp nhận từ bỏ vài thứ mới có được một “bản thân” hoàn thiện hơn.",写给自己的第414封信 你的痴情感动不了一个不爱你的人。伤害你 等不起的人就不要等了， 转个身， 你必须放 而是你心存幻想的坚持。 的不是对方的绝情， 勇敢点， 弃一些东西， 才能获得更圆满的自己。
415,"Bức thư viết cho chính mình số 415 Nếu bạn thực sự thích một người thì hãy giữ khoảng cách như những người bạn là đủ rồi, vì vậy có thế bên nhau cả đời. Đừng mong gần gũi hơn vì con người một khi có lòng tham sẽ phải chịu hỉ sinh những điều đó.",写给自己的第415封信 如果很喜欢一个人， 保持一个朋友的距离就够了， 这样可以一 那么， 千万不要奢望靠近， 人一旦有了贪欲， 就注定要失去。 辈子。
416,"Bức thư viết cho chính mình số 416 Tình cảm giữa người với người đôi khi giống như chiếc áo len, khi dệt thì cẩn thận từng mũi kim khâu, lúc tháo ra thì chỉ cần nhẹ một chút là tuột ra hết. Có thế chỉ là một câu nói đùa, có khi chí là một hiểu lầm nhỏ, tất cả tình cảm tốt đẹp sẽ không còn nữa! Bạn bè không quan trọng nhiều mà quý ở chỗ có thể cùng nhau vượt qua giông bão. Tình cảm không cần biết có lâu bao nhiêu mà quan trọng là được đáp lại đúng thời điểm. ì",写给自己的第416封信 织的时候一针一线， 有时候好像毛衣， 拆 小心谨慎， 人和人的感情， 所有的 也许是一个小误会， ，也许只是一句玩笑话， 的时候只要轻轻一拉， 友不在多， 重在有求必应。 情不论久， 贵在风雨同行； 情感再也不见！
417,"Bức thư viết cho chính mình số 417 Bước đầu tiên khi yêu là tạo được ngoại hình ưa nhìn. Việc đầu tiên khi kết hôn là khiến bảắn thân trở thành người đáng tin cậy. Điều đầu tiên phải làm khi sinh con là kiếm thật nhiều tiền. Rất nhiều việc không phải bạn muốn là có thể được, đầu tiên phải tạo cho mình những điều kiện cần trước.",写给自己的第417封信 是让自己变靠 是让自己变好看。 结婚的第一步， 谈恋爱的第一步， 是让自己变有钱。很多事情， 不是你想做就能做， 生孩子的第一步， 先要让自己有足够的条件。
418,"Bức thư viết cho chính mình số 418 Hai người yêu nhau nhất định phải chân thành. Khi có tranh chấp tìm hiểu rõ trước ngọn ngành vấn đề. Lúc tức giận cần bình tĩnh, khi vui vẻ hãy cùng nhau chia sẻ, khi trách móc lỗi lầm hãy thông cảm và hiếu cho nhau. Một khi đã nắm lấy tay nhau sẽ quyết không chia tay dễ dàng. Con người khi chỉ mang một chiếc giày mới thấu hiểu được cảm giác khi mất chiếc giày còn lại.",写给自己的第418封信 争执的时候要沟通， 生气的时候要 一定要真诚， 两个人相爱的时候， 一旦牵了手， 指责的时候要谅解。 冷静， 就决不轻易说 愉快的时候要分享， 才会明白失去另一只鞋子的滋味。 人总是在拥有一只鞋子的时候， 分手；
419,"Bức thư viết cho chính mình số 419 Cuộc sống cần lãng phí vào những thứ vật chất tốt đẹp, cân nặng phải chịu thua",写给自己的第419封信 体重一定要浪费在美味的食物上， 生命要浪费在美好的事物上， 爱情 一定要浪费在你爱的人身上。
420,"Bức thư viết cho chính mình số 420 Sự tốn thương của người đàn ông gây ra cho người phụ nữ không phải là việc anh ta đi yêu người khác mà là anh ta để người phụ nữ phải thất vọng vào giây phút cô ấy kì vọng nhất, cũng như không kịp thời động viên khi cô ấy yếu đuối nhất.",写给自己的第420封信 而是他在她有所期待的 男人对女人的伤害， 不一定是他爱上了别人， 在她脆弱的时候没有给她应有的安慰。 时候让她失望，
421,Bức thư viết cho chính mình số 421 Thực ra một người có yêu bạn hay không bạn có thể cảm nhận được. Cảm giác này cũng thường khá thực tế và chính xác. Không cần lừa dối chính mình và càng không phải ép buộc mình. Nếu bạn thực sự không thể làm được thì cần học cách quay đầu từ bỏ.,写给自己的第421封信 是能够感觉到的，- 其实， 而且这种感觉相当真切和 一个人爱不爱你， 要学会转身。 如果真的不行， 更不用勉强自己。 不用骗自己， 准确，
422,"Bức thư viết cho chính mình số 422 Yêu một người là việc của riêng mình nên phải giữ thái độ bình thường như chính bạn trong cuộc sống hằng ngày. Chỉ cần bạn vẫn muốn tiếp tục, cùng lắm thì khóc thật lớn một trận sau đó lại mặt dày yêu tiếp. Trên đời duyên phận là gì chứ, thử định nghĩa xem nào.",写给自己的第422封信 爱一个人真的就是自己一个人的事儿， 得拿出过日子一样的态度。 只 就大不了哭一场，硬着头皮爱下去。 要还想继续， 世间什么缘分不缘分， 都是撑来的。
423,Bức thư viết cho chính mình số 423 Thực tế không phải tất cả mọi ị1gười đều có tính tình tốt. Nếu bạn gặp đúng người có thể nhường nhịn bạn thì hãy nhớ rằng đừng phụ tình cảm của người như vậy.,写给自己的第423封信 其实并不是所有人都有那么好的脾气，-一 如果你恰巧碰到了那个愿意迁 记得别磨光了他的感情。 就你的人，
424,"Bức thư viết cho chính mình số 424 Học cách sống một mình bất kể có ai bên cạnh yêu thương bạn hay không. Làm tốt những việc mình phải làm, tình yêu có hay không, cũng có thế bình thản đối mặt.",写给自己的第424封信 做好自己该做的， 有爱或 不论身边是否有人疼爱。 学会一个人生活， 都安然对待。 无爱，
425,Bức thư viết cho chính mình số 425 Nếu bạn thích tại sao không nói? Nếu bạn không yêu tại sao vẫn đồng ý ở bên? Trên đời tất cả mọi thứ đều có mơ hồ nhưng riêng tình cảm phải rõ ràng minh bạch.,写给自己的第425封信 为什么还要勾勾搭搭？世上 如果喜欢， 为什么不说出来？如果不爱， 只有感情必须清清楚楚。 所有的事情都可以模糊，
426,Bức thư viết cho chính mình số 426 Khíi một người phụ nữ yêu bạn chân thành thì cô ấy sẽ sẵn sàng vì bạn mà ghen tuông. Tin tưởng không phải là tiêu chuẩn duy nhất để kiểm nghiệm tình yêu mà ghen tuông mới là sự đánh giá rõ ràng nhất.,写给自己的第426封信 那她就会心甘情愿地为你吃醋。信任不是 一个女人如果真心地爱你， 唯一检验爱情的标准， 嫉妒才是。
427,"Bức thư viết cho chính mình số 427 Nếu biết chắc không thể có được người ấy bạn nên buộc bản thân mỗi ngày nghĩ về anh ta ít hơn một chút. Đột nhiên rời bỏ tất nhiên sẽ khiến bạn cảm thấy rất có thế đỡ đau hơn một chút. Để rời xa một người cũng cần phải luyện tập dần dần bình lặng, từ từ thờ ơ, ... cho đến khi không bao giờ gặp lại nữa.",写给自己的第427封信 突然离 就要强迫自己每天少一点想起他。 如果注定不能拥有一个人， ，攒够了失望， 当然很难。 起码能痛得轻一 把爱一点一点剥离出灵魂， 慢慢淡漠……直至再也不见。 渐渐平静、 也需要演练， 离开一个人，
428,Bức thư viết cho chính mình số 428 ngủ ngon là lời tỏ tình cho tình yêu lâu bền nhất. Bạn nói chúc ngủ ngon mỗi đêm trước khi đi ngủ là niềm hạnh phúc đơn giản nhưng lâu dài nhất đấy.,写给自己的第428封信 每晚睡前你说的晚 晚安是最情长的告白。 听说早安是最深情的问候，- 是最简单却又持久的幸福。
429,"Bức thư viết cho chính mình số 429 Hãy tranh thủ khi ánh nắng mặt trời vẫn còn đẹp, gió vẫn còn thối nhẹ, tranh thủ thời điểm khi anh ấy vẫn còn đó, khi bạn vẫn chưa đánh giá mà đi gặp người bạn muốn gặp đi thôi.",写给自己的第429封信 趁他还在， 去见你想见的人吧， 趁你未 趁阳光正好， 趁微风不噪，
430,"Bức thư viết cho chính mình số 430 Người thực sự yêu bạn sẽ không bỏ lỡ bạn bởi vì tình yêu sế làm cho anh ta điên cuồng. Bạn có thế chờ đợi một cách thụ động. Tình yêu đẹp nhất sẽ khiến bạn không ngừng hoàn thiện bản thân và không đánh mất chính mình. Ê gu1isù,",写给自己的第430封信 一切被动等待 因为爱会让他疯狂。 是不会错过你的， 真正爱你的人， 让你不断完善 因为爱， 最好的爱情， 就是主动。 只是没那么爱你。 的人， 自身， 却不用丢了自己。
431,"Bức thư viết cho chính mình số 431 Cho dù bạn có muốn thừa nhận hay không, hầu hết những ai đã từng yêu đều từ lạ thành quen, từ quen thuộc lại trở lại xa lạ... Dần dần, chúng ta không còn thấy cảm động vì câu “Tôi yêu em” mà là câu nói “Tôi sẽ ở bên em”. Tình yêu không phải là điều quan trọng nhất mà đồng hành mới là cái đích cuối cùng. Mì",写给自己的第431封信 一生爱过的大部分人，都会从陌生变得熟悉， 不论你愿不愿意承认， “我爱你” 打动我们的不再是那句 又再从熟悉变得陌生……渐渐地， 而 “我陪你” 是一句 陪伴才是归宿。 爱情不是终点，
432,Bức thư viết cho chính mình số 432 Điều bất lực nhất trong tình yêu là kinh nghiệm sống của hai bên không phù hợp. Khi bạn mới biết yêu còn non nớt thuần khiết thì nửa kia đã trải qua ngàn mối tình rất khó để yêu thêm lần nữa.,写给自己的第432封信 你还初出茅庐单纯 恋爱中最无奈的事， 莫过于两个人经历的不匹配。 对方已千帆过尽不会再爱。 爱意情深似海，
433,"Bức thư viết cho chính mình số 433 Tôi không hiểu điều gì mới là đúng, tôi chỉ không muốn phụ tình cảm bất cứ ai. Khi nên trân trọng tôi sẽ không từ bỏ, những lúc nên cười tôi nhất định sẽ không khóc đâu.",写给自己的第433封信 我只是不想辜负谁。 该拥抱的时候我不 我不明白什么叫作恰到好处， 该笑的时候我绝对不会哭 退步，
434,"Bức thư viết cho chính mình số 434 Một số người, nên quên thì cứ quên đi! Sự nhớ nhung của bạn trong mắt bạn là tình yêu nhưng trong mắt người kia là sự quấy rầy và trong con mắt của người khác, nó trở nên rẻ mạt đến đáng thương.",写给自己的第434封信 在对方眼 在自己眼里， 你的念念不忘， 是爱； 该忘就忘了！ 有的人， 在别人眼里， 是贱。 是烦；
435,Bức thư viết cho chính mình số 435 Nếu bạn không buông tay người bạn yêu nhầm thì bạn sẽ không bao giờ tìm đứng người để yêu.,写给自己的第435封信 你就永远找不到对的人。 如果你不放开错的人，
436,"Bức thư viết cho chính mình số 436 Chúng ta trân trọng một người thì chắc chắn đã từng cảm động vì người đó. Chúng ta từ bỏ một người thì ắt cũng từng phải thất vọng vì người đó. Người bên cạnh bạn bởi vì trái tìm ấm áp cảm nhận được tình cảm của nhau mới không thể tách rời. Trong thực tế, người hạnh phúc không phải là người có được thứ quý giá nhất trên đời mà vì họ biết trân trọng những người đang bên cạnh mình.",写给自己的第436封信 我们放弃一个人， 我们珍惜一个人， 一定是失望过。 一定是感动过； 懂你的人因疼惜而无可取代， 因暖心而情义交换， 才离不开； 陪你的人， 而是珍惜了身边 幸福的人不是拿到了世上最好的东西， 其实， 才不离开。 已经拥有的人。 一 心
437,"Bức thư viết cho chính mình số 437 Có bốn thứ trở nên vô dụng nhất trong tình yêu: Thứ nhất là sự ân hận sau khi chia tay, thứ hai là sự quan tâm sau khi đã hết yêu, thứ ba là lòng tự tôn quá lớn và cuối cùng là một tấm lòng lương thiện không giỏi toan tính.",写给自己的第437封信 分手后的悔恨， 感情世界里最没用的四种东西: 高高 不爱后的关怀， 在上的自尊心， 低智商的善良。
438,"Bức thư viết cho chính mình số 438 Thời gian khiến cho những điều sâu sắc càng trở nên sâu sắc hơn, khiến điều gì nhạt nhòa càng nhạt nhòa hơn. Cả hai cùng giữ gin trái tìm thuần khiết của nhau mà sống giản dị qua từng ngày, thực là trân quý!",写给自己的第438封信 让深的东西越深， 简简 守护彼此纯真的心， 让浅的东西越浅。 时间， 单单地过好每一天。
439,Bức thư viết cho chính mình số 439 Sự lạnh lùng của tình cảm là khi chỉ vì một sai lầm vô tình của bạn có thể khiến những người khác quên đi tất cả những điều tốt đẹp bạn đã làm trong quá khú.,写给自己的第439封信 让他人忘记你过 人之间最浅薄的情感就是因为你不经意的一个错误， 去所有的好。
